public_result_id,seed,d_model,n_layers,n_heads,macro_f1,accuracy,pr_auc,num_labels,throughput_flows_per_sec
shallow_capacity_d128_l1_h2_mean_seed0,0,128,1,2,0.9327081385706665,0.995304114490161,0.932753587659584,5,1014735.770875531
shallow_capacity_d128_l1_h4_mean_seed0,0,128,1,4,0.935898712832976,0.9955277280858676,0.9366934686740087,5,889071.1223240867
shallow_capacity_d128_l1_h8_mean_seed0,0,128,1,8,0.9107704521430737,0.9941860465116279,0.9555791724070974,5,693083.7973845822
shallow_capacity_d128_l2_h2_mean_seed0,0,128,2,2,0.937201505838743,0.9955277280858676,0.9481772040181904,5,538918.4688434365
shallow_capacity_d128_l2_h4_mean_seed0,0,128,2,4,0.9204644340403032,0.9946332737030411,0.9560893051208863,5,453143.19950561214
shallow_capacity_d128_l2_h8_mean_seed0,0,128,2,8,0.945993890303573,0.9964221824686941,0.960737600165737,5,360805.3940895927
shallow_capacity_d128_l4_h2_mean_seed0,0,128,4,2,0.9317841358212027,0.995304114490161,0.9550644549013111,5,268245.8320431084
shallow_capacity_d128_l4_h4_mean_seed0,0,128,4,4,0.950028821321545,0.9964221824686941,0.9585083755629709,5,233583.96801582305
shallow_capacity_d128_l4_h8_mean_seed0,0,128,4,8,0.7251259227778565,0.9948568872987478,0.765721250877534,5,179715.43484582074
shallow_capacity_d256_l1_h2_mean_seed0,0,256,1,2,0.8598262501995754,0.9950805008944544,0.9475865226838355,5,641248.2281180016
shallow_capacity_d256_l1_h4_mean_seed0,0,256,1,4,0.8760698222242519,0.9957513416815742,0.9469146003352374,5,578456.1439823846
shallow_capacity_d256_l1_h8_mean_seed0,0,256,1,8,0.9448771616737932,0.9959749552772809,0.9263528733464508,5,498967.1988705945
shallow_capacity_d256_l2_h2_mean_seed0,0,256,2,2,0.8698708005670504,0.9955277280858676,0.9446242454398843,5,321267.19863686897
shallow_capacity_d256_l2_h4_mean_seed0,0,256,2,4,0.9397322087511002,0.9957513416815742,0.9619114400909771,5,293581.5075653807
shallow_capacity_d256_l2_h8_mean_seed0,0,256,2,8,0.9448771616737932,0.9959749552772809,0.9420717555244169,5,250961.0145312708
shallow_capacity_d256_l4_h2_mean_seed0,0,256,4,2,0.9490888144960581,0.9964221824686941,0.9570888666002718,5,160664.5834061968
shallow_capacity_d256_l4_h4_mean_seed0,0,256,4,4,0.9567788052172712,0.997093023255814,0.9559978457346568,5,146440.93525406884
shallow_capacity_d256_l4_h8_mean_seed0,0,256,4,8,0.9350750129960781,0.9955277280858676,0.9384145088500258,5,126364.423503556
shallow_capacity_d064_l1_h2_mean_seed0,0,64,1,2,0.6977616908594014,0.9937388193202147,0.6928547335196706,5,1397992.9858955466
shallow_capacity_d064_l1_h4_mean_seed0,0,64,1,4,0.9192977400113411,0.9950805008944544,0.9614823646303675,5,1153185.714236197
shallow_capacity_d064_l1_h8_mean_seed0,0,64,1,8,0.9244770620208159,0.995304114490161,0.9539295126903573,5,855938.4029377858
shallow_capacity_d064_l2_h2_mean_seed0,0,64,2,2,0.9464857552808145,0.9964221824686941,0.9606085335332819,5,772946.9532829111
shallow_capacity_d064_l2_h4_mean_seed0,0,64,2,4,0.8798421274308886,0.9964221824686941,0.960300289011883,5,607504.8106642474
shallow_capacity_d064_l2_h8_mean_seed0,0,64,2,8,0.8724231572966618,0.9955277280858676,0.8571053617478526,5,445681.83332789055
shallow_capacity_d064_l4_h2_mean_seed0,0,64,4,2,0.9497782174543425,0.9961985688729875,0.9510584758455087,5,397489.810219154
shallow_capacity_d064_l4_h4_mean_seed0,0,64,4,4,0.743569393062894,0.9957513416815742,0.9570612661128257,5,315235.61331860244
shallow_capacity_d064_l4_h8_mean_seed0,0,64,4,8,0.743569393062894,0.9957513416815742,0.8555978974627237,5,226268.2147337054
shallow_capacity_d128_l1_h2_mean_seed1,1,128,1,2,0.8760698222242519,0.9957513416815742,0.9169224529672662,5,1018736.2767730734
shallow_capacity_d128_l1_h4_mean_seed1,1,128,1,4,0.9459447215362184,0.9959749552772809,0.9440884283539684,5,894350.8926293135
shallow_capacity_d128_l1_h8_mean_seed1,1,128,1,8,0.7363979050123475,0.9955277280858676,0.9388756817923636,5,701919.6807026004
shallow_capacity_d128_l2_h2_mean_seed1,1,128,2,2,0.8616437490153089,0.9950805008944544,0.9373128155230381,5,530672.2671654325
shallow_capacity_d128_l2_h4_mean_seed1,1,128,2,4,0.9410436657556691,0.9957513416815742,0.9514131282457307,5,461342.64930557983
shallow_capacity_d128_l2_h8_mean_seed1,1,128,2,8,0.9227961219713375,0.9948568872987478,0.9426677952845122,5,358889.35280941246
shallow_capacity_d128_l4_h2_mean_seed1,1,128,4,2,0.9304911010402309,0.995304114490161,0.9392301088698923,5,268807.385955893
shallow_capacity_d128_l4_h4_mean_seed1,1,128,4,4,0.935898712832976,0.9955277280858676,0.953461932356908,5,233270.5029634284
shallow_capacity_d128_l4_h8_mean_seed1,1,128,4,8,0.7891766183407568,0.9950805008944544,0.9419245298716283,5,180095.49474929285
shallow_capacity_d256_l1_h2_mean_seed1,1,256,1,2,0.9397322087511002,0.9957513416815742,0.9550592407866313,5,636647.6843179996
shallow_capacity_d256_l1_h4_mean_seed1,1,256,1,4,0.9371997661533152,0.9957513416815742,0.9560904800550745,5,580529.1935342409
shallow_capacity_d256_l1_h8_mean_seed1,1,256,1,8,0.9447817267020551,0.9957513416815742,0.9609790741703371,5,497202.0103369424
shallow_capacity_d256_l2_h2_mean_seed1,1,256,2,2,0.7975455484451894,0.9948568872987478,0.9622938527064253,5,324709.1293239863
shallow_capacity_d256_l2_h4_mean_seed1,1,256,2,4,0.9448771616737932,0.9959749552772809,0.9329641633542181,5,289873.189856616
shallow_capacity_d256_l2_h8_mean_seed1,1,256,2,8,0.9410436657556691,0.9957513416815742,0.9297482313103815,5,251881.6078217792
shallow_capacity_d256_l4_h2_mean_seed1,1,256,4,2,0.9448771616737932,0.9959749552772809,0.941560433536808,5,160663.5697160345
shallow_capacity_d256_l4_h4_mean_seed1,1,256,4,4,0.9497782174543425,0.9961985688729875,0.929551975079351,5,145907.3170035439
shallow_capacity_d256_l4_h8_mean_seed1,1,256,4,8,0.9497782174543425,0.9961985688729875,0.927152338438131,5,126316.1538070169
shallow_capacity_d064_l1_h2_mean_seed1,1,64,1,2,0.9410436657556691,0.9957513416815742,0.9563937536528279,5,1396054.2778941358
shallow_capacity_d064_l1_h4_mean_seed1,1,64,1,4,0.9410436657556691,0.9957513416815742,0.9414135822973126,5,1121317.587273913
shallow_capacity_d064_l1_h8_mean_seed1,1,64,1,8,0.937201505838743,0.9955277280858676,0.9519164388647294,5,869136.1377669716
shallow_capacity_d064_l2_h2_mean_seed1,1,64,2,2,0.9495671371241474,0.9964221824686941,0.9474484132253249,5,766135.2742575088
shallow_capacity_d064_l2_h4_mean_seed1,1,64,2,4,0.9433537587120572,0.9959749552772809,0.9556575608777595,5,610285.4437168431
shallow_capacity_d064_l2_h8_mean_seed1,1,64,2,8,0.9448771616737932,0.9959749552772809,0.9512759091170476,5,445765.7989214532
shallow_capacity_d064_l4_h2_mean_seed1,1,64,4,2,0.9448771616737932,0.9959749552772809,0.9581455024634398,5,395302.6899641919
shallow_capacity_d064_l4_h4_mean_seed1,1,64,4,4,0.9411893841243366,0.9957513416815742,0.9503516543317712,5,314183.00908849615
shallow_capacity_d064_l4_h8_mean_seed1,1,64,4,8,0.9256030274178345,0.9948568872987478,0.9401989535054369,5,226288.24928780986
shallow_capacity_d128_l1_h2_mean_seed2,2,128,1,2,0.9448771616737932,0.9959749552772809,0.9568375255250432,5,1023668.0668522256
shallow_capacity_d128_l1_h4_mean_seed2,2,128,1,4,0.9410436657556691,0.9957513416815742,0.9327180274021322,5,897193.3342675881
shallow_capacity_d128_l1_h8_mean_seed2,2,128,1,8,0.9410436657556691,0.9957513416815742,0.9446513946716225,5,693427.6327557265
shallow_capacity_d128_l2_h2_mean_seed2,2,128,2,2,0.9470019201334043,0.9961985688729875,0.95441394724996,5,530630.942088201
shallow_capacity_d128_l2_h4_mean_seed2,2,128,2,4,0.9470019201334043,0.9961985688729875,0.9458155285261849,5,459293.03734305385
shallow_capacity_d128_l2_h8_mean_seed2,2,128,2,8,0.9453321092969265,0.9961985688729875,0.9495023795455839,5,359107.8396021637
shallow_capacity_d128_l4_h2_mean_seed2,2,128,4,2,0.9490888144960581,0.9964221824686941,0.957896729210565,5,269130.143859086
shallow_capacity_d128_l4_h4_mean_seed2,2,128,4,4,0.8865093940057843,0.9968694096601073,0.9526236142262794,5,231637.6415752924
shallow_capacity_d128_l4_h8_mean_seed2,2,128,4,8,0.9470019201334043,0.9961985688729875,0.9576303286722286,5,179086.64254094142
shallow_capacity_d256_l1_h2_mean_seed2,2,256,1,2,0.9470019201334043,0.9961985688729875,0.961608711237813,5,633716.7323772484
shallow_capacity_d256_l1_h4_mean_seed2,2,256,1,4,0.932957389626762,0.9955277280858676,0.9299468569111335,5,583071.571745773
shallow_capacity_d256_l1_h8_mean_seed2,2,256,1,8,0.9429863818807702,0.9959749552772809,0.9443730514363766,5,501890.5731074674
shallow_capacity_d256_l2_h2_mean_seed2,2,256,2,2,0.9444221683089887,0.9961985688729875,0.9483120725187465,5,323415.63175057905
shallow_capacity_d256_l2_h4_mean_seed2,2,256,2,4,0.9522277344412624,0.9966457960644007,0.945264649331885,5,294704.9398062124
shallow_capacity_d256_l2_h8_mean_seed2,2,256,2,8,0.8809708780048011,0.9959749552772809,0.9508622434624157,5,249679.58537403055
shallow_capacity_d256_l4_h2_mean_seed2,2,256,4,2,0.7939284845893507,0.9950805008944544,0.9334614841605775,5,161068.3683210601
shallow_capacity_d256_l4_h4_mean_seed2,2,256,4,4,0.8141913318598843,0.9950805008944544,0.9432358109653126,5,146153.79700171138
shallow_capacity_d256_l4_h8_mean_seed2,2,256,4,8,0.9168009708443823,0.9946332737030411,0.9427908367005852,5,126752.78563315154
shallow_capacity_d064_l1_h2_mean_seed2,2,64,1,2,0.9226362083775266,0.9950805008944544,0.9174337263298782,5,1390541.4579629116
shallow_capacity_d064_l1_h4_mean_seed2,2,64,1,4,0.9266489411233045,0.9950805008944544,0.9560576389218136,5,1150657.2949051699
shallow_capacity_d064_l1_h8_mean_seed2,2,64,1,8,0.9282037337640826,0.9950805008944544,0.9483462623366661,5,875855.701694816
shallow_capacity_d064_l2_h2_mean_seed2,2,64,2,2,0.9304911010402309,0.995304114490161,0.9575450141559732,5,758425.3530893443
shallow_capacity_d064_l2_h4_mean_seed2,2,64,2,4,0.937201505838743,0.9955277280858676,0.9533195902458402,5,616502.7753196498
shallow_capacity_d064_l2_h8_mean_seed2,2,64,2,8,0.937201505838743,0.9955277280858676,0.9425005229763537,5,449770.79338115983
shallow_capacity_d064_l4_h2_mean_seed2,2,64,4,2,0.9457805573031355,0.9964221824686941,0.9647924053117235,5,397787.37654899724
shallow_capacity_d064_l4_h4_mean_seed2,2,64,4,4,0.9494690588888334,0.9966457960644007,0.9522510594741693,5,314076.137060709
shallow_capacity_d064_l4_h8_mean_seed2,2,64,4,8,0.9402083515114196,0.9957513416815742,0.9375244115783408,5,226925.05769464
